,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_scaled
0,0,0,0,0.8722222222222222,0.8684282202687111,0.8383239068500978,0.8984250909732668,1.1862806575687062,0.7213413929644441,0.6097350019572612,0.5051917608052017,2.7789105545768993,0.16055555555555556,0.1251388888888889,0.08833333333333335,-0.0022916666666666584
1,0,1,1,0.8352490421455939,0.8281440329550036,0.7803161403002772,0.8253510444540584,-0.5417290459826468,-0.5473090499022929,2.1814993087833954,0.5920697036023388,3.2408546807601217,0.14122605363984678,0.09961685823754793,0.0855172413793104,-0.003984674329501859
2,0,2,2,0.9036979969183359,0.8998461197810851,0.8545901846166786,0.9291167276448408,-0.3878823898740288,0.32440219228618616,1.5776187761106881,-1.8958002604175772,5.256329925466307,0.1430662557781201,0.1171032357473035,0.10254237288135588,0.004391371340523831
3,0,3,3,0.8663194444444444,0.867406996407118,0.8591275269797842,0.9288476803296685,1.4544902433303695,-0.09660254776086777,1.109084190519515,-1.0767416258844962,4.624159975768893,0.16953124999999997,0.14583333333333331,0.10824652777777774,0.04010416666666664
4,0,4,4,0.8838582677165354,0.8833024277470846,0.8638383057931058,0.9276476372767661,1.2353536528775093,0.842532623068269,0.5930071278577679,-0.3465396375675817,3.4108512312440133,0.18129921259842519,0.14557086614173226,0.10531496062992125,0.009645669291338565
5,1,0,5,0.9180555555555555,0.9188982159091277,0.9056382116541382,0.9530731463099691,1.2668258529256893,-0.19288023522544925,-0.03708499767790543,-0.09542499889819431,4.765378480684869,0.18923611111111108,0.1628472222222222,0.13208333333333327,0.009444444444444412
6,1,1,6,0.9358974358974359,0.9355776540397727,0.8827541571243652,0.9535710729577105,0.2454952077768788,0.48963618176781365,0.6637264228668683,0.7476829199071692,3.653711869701398,0.1316951566951567,0.11260683760683761,0.07977207977207977,0.0025641025641025663
7,1,2,7,0.7760736196319018,0.7667033669295938,0.766320397784634,0.8048605017596497,-1.513911638619206,0.9844486836513484,2.303714559309275,0.8757707698277352,2.033596286526264,0.12492331288343554,0.08381901840490792,0.06326687116564411,-0.012960122699386534
8,1,3,8,0.8869223205506391,0.8854816111453279,0.8536447780438386,0.8967167065757966,1.0188221901652799,0.5268720665536879,0.5723628134521904,0.624468589912341,3.05685838184426,0.18466076696165193,0.14601769911504425,0.09842674532940018,-0.007079646017699115
9,1,4,9,0.8260038240917782,0.8220051736901383,0.8224721978343577,0.8961406204272755,2.0857103629111964,-0.4255319055447908,0.4141007963360498,-0.5807336249114844,4.2993654074167535,0.14177820267686422,0.09961759082217972,0.08977055449330783,0.0054493307839388
