,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_scaled
0,0,0,0,0.8590277777777777,0.8536158069521566,0.8189758048928071,0.9237925557395098,1.8107284576390001,-0.20299683873099827,1.3511205017860572,-0.7993643210992938,2.9897108244751327,0.14124999999999996,0.1019444444444444,0.07104166666666663,0.007569444444444418
1,0,1,1,0.8681992337164751,0.8669930530119757,0.8416734765819033,0.8831792423101369,1.8544539658971415,1.3143851824838806,-0.4665605997982896,-0.12658014940970932,1.608768829007124,0.16681992337164753,0.13417624521072796,0.10766283524904215,0.004521072796934889
2,0,2,2,0.8559322033898306,0.8456996174512172,0.7803818495310989,0.8994743260860425,0.5987183590208296,0.7634067778262258,-0.011135862981245533,0.08868267108561873,2.28050155744447,0.11718027734976891,0.08990755007704168,0.06325115562403702,0.0006933744221880089
3,0,3,3,0.9027777777777778,0.9023230842650669,0.886578507371941,0.9498809342858591,3.157908228859536,0.3077185330012153,2.099878165055993,-2.8248659697532204,2.071387197270379,0.16484375,0.13654513888888892,0.10911458333333335,0.004427083333333337
4,0,4,4,0.8582677165354331,0.8539347949640304,0.8149858640490281,0.9116107960033014,0.4268163598559492,-0.11218206984436035,1.0212368681813908,0.7881942936994465,3.4956837141702857,0.14202755905511816,0.10954724409448821,0.08622047244094493,-0.0015748031496062964
5,1,0,5,0.9138888888888889,0.9140322546115951,0.8910426564951335,0.9517124806991194,0.5264629992145994,0.09471973077461303,0.4033338258694453,0.5204093317508971,4.198464894900511,0.1785416666666666,0.1502083333333333,0.12444444444444444,-0.000347222222222221
6,1,1,6,0.8938746438746439,0.8936121007457491,0.8115638468869575,0.8730814639905549,3.5748414910811355,0.7685692514223862,1.7388752476920653,-2.1976869491123985,1.2551159920607842,0.10712250712250712,0.07934472934472933,0.06481481481481481,0.008689458689458706
7,1,2,7,0.8059815950920245,0.8013534076653893,0.7987559795069207,0.8870356741864569,1.5672819205588917,0.9048590879743914,1.8890115689848836,-2.4422374298420846,2.8108034729316134,0.1180981595092024,0.09463190184049076,0.06848159509202449,-0.011809815950920288
8,1,3,8,0.8849557522123894,0.8816966593530788,0.8391209246638422,0.9072941609872905,1.5483768205327197,-0.10754899669617926,2.0261778296378354,-1.234345584164772,3.1878569836604784,0.15614552605703053,0.10835791543756149,0.08584070796460183,-0.005899705014749202
9,1,4,9,0.8040152963671128,0.80105701259363,0.8011596429616623,0.8719673690371672,1.2813350899560598,1.9741950033381592,1.5356925509335138,-0.08310652397004495,0.572553184280896,0.13518164435946461,0.09942638623326955,0.07495219885277242,-0.002198852772466564
10,2,0,10,0.7668711656441718,0.7551432120140013,0.7543730401601874,0.8183015980958858,-1.9345198050209051,0.08190892512283329,4.571698360651709,1.9680833768161947,1.3798812982268767,0.11457055214723928,0.06687116564417181,0.0553680981595092,-0.013190184049079744
11,2,1,11,0.8952991452991453,0.893515392138357,0.8072543649435124,0.9067750770284149,1.5123352849363045,0.547862745997489,1.1152432611775482,-1.242974287507703,3.530815665940783,0.11965811965811972,0.08817663817663823,0.07457264957264961,0.005484330484330535
